expr_str,reward,MSE,complexity
-35.9*x0 + 35.91*x1,0.18523154238686607,17.963215,3
-33.75*x0 + 33.75*x1 - 0.06,0.18367649186588456,17.891424,4
15.71 + (-84.16*x0 + 84.19*x1 - 36.7)/(0.01*sign(x3) + 2.29),0.16794801105646148,17.850256,13
(x0 - x1 - 0.05)*(0.02*x2 - 0.23*sin(0.74*x0) - 36.46) - 1.95,0.16639853499758786,17.815779,14
0,0.023688987642913155,1698.5697,0
