expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.881457381473839,0.0006764013,10
2.333*x1**2 - 2.151*x1 + 0.369*x2 - 0.212*sign(x1) + 0.013,0.8502829889902991,0.0004714865,14
-0.068*x0 + 2.076*x1**2 - 2.137*x1 + 0.368*x2 - 0.211*sign(x1) + 0.025,0.8337514120152635,0.00045100917,16
1.77*x0**2*(2.405*x0 - 0.698) + 2.313*x1**2 - 2.125*x1 + 0.368*x2 - 0.212*sign(x1) + 0.024,0.7929153241794136,0.00044958649,21
-1.188*x0*cos(1.717*x0) + 1.015*x0 + 2.402*x1**2 - 2.133*x1 + 0.368*x2 - 0.212*sign(x1) + 0.029,0.7772134153259005,0.00044530042,23
0.95*x0 + 2.402*x1**2 - 2.132*x1 + 0.368*x2 - 1.074*sin(1.047*x0)*cos(1.667*x0) - 0.212*sign(x1) + 0.029,0.746588640145422,0.00044526957,27
-0.0249280180000000,0.7074226758116557,0.17105012,0
