expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.19198*x1 + 0.369935*x2 - 0.207532*sign(x1) + 0.033709,0.8814573843580027,0.00067640113,10
3.95*x1*(0.59*x1 - 0.545) + 0.369*x2 - 0.212*sign(x1) + 0.013,0.8588717049240908,0.00047148656,13
-2.1*x1 + 0.369*x2 + 0.003 - 0.213*exp(-1.699*x1)*sign(x1),0.83338834484547,0.00047010393,16
0.369*x2 - 1.835*sin(1.15*x1) + 0.003 - 0.213*exp(-1.701*x1)*sign(x1),0.8005640814816744,0.00046929836,20
1.486*x1*(0.249 - 1.445*sign(x1))*sign(x1) + 0.369*x2 - 0.212*sign(x1) + 0.002,0.784667836111111,0.00046732713,22
(-8.404448*x1 + 1.451892*x2 - 0.83536*sign(x1) - 7.09602)*exp(-1.372*cos(0.41*x0))*cos(1.442*x1) + 1.822,0.7537775306935286,0.00046564464,26
-0.0250000000000000,0.7074226758116557,0.17105012,0
