expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.191406*x1 + 0.369892*x2 - 0.207554*sign(x1) + 0.034328,0.8814601696813569,0.0006762325,10
(0.008*x0 + 0.277)*(-7.724*x1 + 1.323*x2 - 0.749*sign(x1) - 15.144) + 4.244,0.8480599180420536,0.00059497065,14
(-2.146781*x1 + 0.369846*x2 - 0.21308*sign(x1) - 3.688567)*cos(1.116*x1) + 3.701,0.8332837378759799,0.0004756821,16
3.473 + (-22.508942*x1 + 3.810616*x2 - 2.204258*sign(x0*x1) - 35.666728)*cos(1.12*x1)/(0.947*x0*x1 + 10.312),0.7845387958679099,0.00047462044,22
5.076*x0**2*x2 + 0.025,0.7181127330113763,0.10516449,5
-0.0249280180000000,0.7074226758116557,0.17105012,0
