expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.8814573862807787,0.000676401,10
-0.129*x0 - 2.153*x1 + 0.368*x2 - 0.208*sign(x1) + 0.053,0.8652775636468396,0.00059505185,12
1.264*x1*(1.845*x1 - 1.702) + 0.369*x2 - 0.212*sign(x1) + 0.013,0.8588717032340164,0.00047148665,13
2.333*x1**2 - 2.151*x1 + 0.369*x2 - 0.212*sign(x1) + 0.013,0.8502829895480236,0.00047148648,14
1.257*x1*(0.294*sign(x1) - 1.709) + 0.369*x2 - 0.212*sign(x1) + 0.002,0.8251062523668061,0.00046732713,17
0.369*x2 - 1.147*sin(2.202*x1 + 0.224*sign(x1) + 0.392) + 0.028*sign(x1) + 0.434,0.7927267664872819,0.00045994626,21
0.369*x2 - (2.61738*x1 + 0.356643*sign(x1) + 0.518481)*cos(2.955*x1) + 0.16*sign(x1) + 0.532,0.7848763428988487,0.00045566674,22
-0.0250000000000000,0.7074226758116557,0.17105012,0
