expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.19126*x1 + 0.369635*x2 - 0.20768*sign(x1) + 0.033565,0.881457381473839,0.0006764013,10
0.353*x2 - 0.378*sign(x1) + 0.024,0.8481339214436117,0.0077388105,8
(-0.011*x1 - 0.306)*(7.151*x1 - 1.207*x2 + 0.678*sign(x1) - 0.112),0.84673568947808,0.0006756927,14
0.031 + (7.044*x1 - 1.189*x2 + 0.667*sign(x1) - 0.012)/(0.113*x0 - 3.235),0.8382782987569205,0.0006750587,15
0.018 + (6.745*x1 - 1.139*x2 + 0.639*sign(x1) - 0.05)/(0.08*x0 + 0.099*x1 - 3.095),0.821597903484305,0.00067497155,17
(0.455 - 1.397*sin(0.632*x0)/x0)*(5.131*x1 - 0.868*x2 + 0.488*sign(x1) - 1.521) - 0.613,0.7975655197795095,0.00065047364,20
-0.816 + (3.591*x1 - 0.609*x2 + 0.345*sign(x1) - 1.383)/(4.14*x1**2 - 0.008*cos(2.45*x2) - 1.67),0.7766283738563781,0.00047835588,23
-0.0249280180000000,0.7074226758116557,0.17105012,0
