expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.8814573843580027,0.00067640113,10
-2.148*x1 + 0.369*x2 + (0.068608*x0 - 0.220832)*sign(x1) + 0.033,0.8642670576132473,0.00065492035,12
7.87*x1**2*x2 - 4.889*x1 + 0.334*x2 + 0.043,0.8505448238128656,0.005481588,9
5.246 + (6.641*x1 - 1.135*x2 + 0.641*sign(x1) + 16.089)/(0.076*x0 - 3.098),0.8395847362620841,0.00059464824,15
(0.265*x1**2 - 0.186)*(11.213*x1 - 1.985*x2 + 1.17*sign(x1) + 8.299) + 1.561,0.8329847724497176,0.00049181376,16
(1.093*cos(0.787*x1) - 0.752)*(-6.335*x1 + 1.086*x2 - 0.623*sign(x1) - 6.693) + 2.293,0.8166406270210753,0.00047900437,18
2.374 + (6.906*x1 - 1.328*x2 + 0.761*sign(x1) + 8.472)/(3.007*x1 - exp(2.612*x1) - 2.59),0.7924132271484281,0.00047744522,21
-0.0250000000000000,0.7074226758116557,0.17105012,0
