expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.8814573843580027,0.00067640113,10
0.353*x2 - 0.378*sign(x1) + 0.024,0.8481339214436117,0.0077388105,8
0.019 + (7.156*x1 - 1.208*x2 + 0.679*sign(x1) - 0.05)/(0.115*x1 - 3.271),0.8382683499640099,0.0006756916,15
5.655 + (7.509*x1 - 1.286*x2 + 0.728*sign(x1) + 19.661)/(0.311*x0**2 - 3.506),0.8231860412639528,0.00057604007,17
(2.042*x0**3 - 0.277*x0**2 + 0.576)*(-3.73*x1 + 0.634*x2 - 0.357*sign(x1) - 1.787) + 1.07,0.798813351247206,0.0005713265,20
2.374 + (6.906*x1 - 1.328*x2 + 0.761*sign(x1) + 8.472)/(3.007*x1 - exp(2.612*x1) - 2.59),0.7924132271484281,0.00047744522,21
-0.0249280180000000,0.7074226758116557,0.17105012,0
