expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189656*x1 + 0.369416*x2 - 0.2074*sign(x1) + 0.033912,0.8814593793316152,0.00067628035,10
0.353*x2 - 0.378*sign(x1) + 0.024,0.8481339173171262,0.0077388114,8
0.369*x2 - 2.01*sin(1.094*x1) - 0.207*sign(x1) + 0.034,0.8467367955527895,0.000675623,14
0.352704*x2 - 0.377344*sign(x0*x1) + 0.024216,0.8396525822291755,0.0077388105,9
2.978 + (7.504*x1 - 1.296*x2 + 0.739*sign(x1) + 10.383)/(0.154*x0 - 3.55),0.8395604438187421,0.0005960947,15
1.71 + (6.782*x1 - 1.16*x2 + 0.658*sign(x1) + 5.286)*exp(-1.138*x0)/(3.253*x0 - 3.158),0.7988774228313965,0.0005674076,20
1.628*x0*x2 - 2.511*x1 + 0.028,0.7658120207141283,0.058470197,5
-0.0249280180000000,0.7074226758116557,0.17105012,0
