expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.190888*x1 + 0.369684*x2 - 0.207522*sign(x1) + 0.033886,0.8814573833966148,0.0006764012,10
0.353*x2 - 0.378*sign(x1) + 0.024,0.8481339214436117,0.0077388105,8
(0.011*x1 + 0.305)*(-7.181*x1 + 1.212*x2 - 0.681*sign(x1) + 0.04) + 0.022,0.8467357670954029,0.0006756878,14
3.727 + (7.686*x1 - 1.32*x2 + 0.749*sign(x1) + 13.259)/(0.125*x0 - 3.609),0.8395778442335985,0.00059505843,15
(-2.10197*x1 + 0.368483*x2 - 0.216154*sign(x1) - 7.072661)*cos(0.808*x1) + 7.087,0.8332520551035518,0.00047737837,16
-1.643 + (8.637*x1 - 1.48*x2 + 0.849*sign(x1) - 6.679)/(5.6*x1**2 - 4.032),0.8250443910161165,0.00047064485,17
3.186 + (9.668*x1 - 1.64*x2 + 0.93*sign(x1) + 14.085)/(0.069*x0 - 2.992*x1**2 - 4.452),0.8088477066854921,0.00045857276,19
-0.0249280180000000,0.7074226758116557,0.17105012,0
