expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.8814573833966148,0.0006764012,10
0.353*x2 - 0.378*sign(x1) + 0.024,0.8481339173171262,0.0077388114,8
0.369*x2 - 1.679*sin(1.311*x1) - 0.207*sign(x1) + 0.034,0.8467421068397291,0.0006752885,14
(-2.209856*x1 + 0.370144*x2 - 0.207776*sign(x1) - 3.389776)*cos(1.16*x1) + 3.402,0.8332050516056558,0.0004799007,16
(-5.437*x1 + 0.932*x2 - 0.535*sign(x1) + 6.975)*exp(-0.93*cos(1.36*x1)) - 2.738,0.7925550617024997,0.0004694871,21
-0.0249280180000000,0.7074226758116557,0.17105012,0
