expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.8814573862807787,0.000676401,10
0.353*x2 - 0.378*sign(x1) + 0.024,0.8481339214436117,0.0077388105,8
(0.011*x1 + 0.305)*(-7.181*x1 + 1.212*x2 - 0.681*sign(x1) + 0.04) + 0.022,0.8467357670954029,0.0006756878,14
(0.262*x0*x1 + 0.29)*(-8.024*x1 + 1.274*x2 - 0.73*sign(x1) + 5.403) - 1.534,0.8391343546422624,0.0006217652,15
(-2.165456*x1 + 0.369984*x2 - 0.211232*sign(x1) - 3.405296)*cos(1.111*x1) + 3.419,0.8332581443207748,0.00047705212,16
1.628*x0*x2 - 2.512*x1 + 0.028,0.7658120207141283,0.058470197,5
-0.0250000000000000,0.7074226758116557,0.17105012,0
