expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.8814573833966148,0.0006764012,10
2.334*x1**2 - 2.151*x1 + 0.369*x2 - 0.212*sign(x1) + 0.013,0.8502830927273799,0.0004714811,14
-0.069*x0 + 2.073*x1**2 - 2.136*x1 + 0.368*x2 - 0.211*sign(x1) + 0.026,0.8337514422239384,0.0004510076,16
0.999*x0 + 2.113*x1**2 - 2.136*x1 + 0.368*x2 - 1.03*sin(1.049*x0) - 0.211*sign(x1) + 0.026,0.7849828187192304,0.00044977144,22
-1.188*x0*cos(1.717*x0) + 1.015*x0 + 2.402*x1**2 - 2.133*x1 + 0.368*x2 - 0.212*sign(x1) + 0.029,0.7772134153259005,0.00044530042,23
-0.0249280180000000,0.7074226758116557,0.17105012,0
