expr_str,reward,MSE,complexity
-0.114*x0 - 4.0*x1 + 0.354*x2 + 0.06,0.9094299523128763,0.007848899,6
-2.189*x1 + 0.369*x2 - 0.207*sign(x1) + 0.034,0.8814573833966148,0.0006764012,10
1.282*x0*x1 - 2.318*x1 + 0.369*x2 - 0.212*sign(x1) + 0.032,0.8559990680811688,0.0006321452,13
(0.008*x0 + 0.292)*(-7.345*x1 + 1.254*x2 - 0.708*sign(x1) - 16.718) + 4.938,0.8480619026056666,0.0005948537,14
-2.127*x1*exp(-1.078*x1) + 0.369*x2 - 0.212*sign(x1) + 0.013,0.8333138524947137,0.00047407273,16
0.503*x1 + 0.369*x2 + (2.995 - 0.212*sign(x1))*exp(-0.879*x1) - 2.987,0.8250789630594549,0.0004687892,17
0.369*x2 - (0.997*x1 + 0.212*sign(x1) - 0.012)*exp(-0.994*x1) - 1.136*sin(0.984*x1) - 0.005,0.7767967179608875,0.00046871786,23
-2.115*x1*exp(-0.174*sign(x1)) + 0.369*x2 - 1.03*sin(0.207*sign(x1)) + 0.002,0.7690529471859618,0.00046732707,24
-0.0250000000000000,0.7074226758116557,0.17105012,0
