expr_str,reward,MSE,complexity
0.99*x0*x1 - 2.26*x2 - 2.02,0.22469221302141654,10.448488,5
0.99*x0*x1 - 4.04*log(0.42*x2)**3 - 14.35,0.2115654849007269,10.445614,11
x0*x1 - 2.64*x2 - 1.1*tanh(0.3*x0*x1 - 60.54) - 1.34,0.20978608678288696,10.4018135,12
x0*x1 - 2.64*x2 - 1.08*sign(0.3*x0*x1 - 60.93) - 1.32,0.2056786512142744,10.392897,14
0.99*x0*x1 - 4.13*log(0.41*x2)**3 - 0.37*cos(0.28*x1) - 14.85,0.19960158933231154,10.388558,17
0.94*x0*x1 - 60.93,0.044723534315083927,428.3033,3
11.9500000000000,0.025603680012122973,1448.3265,0
