expr_str,reward,MSE,complexity
4.34*x0*x2 - 0.93*x0,0.9389366673709245,0.00053213025,4
4.922*x0*x2 - 0.9844*x0 - 0.39*x1,0.9374916921410716,1.8099852e-05,6
4.95*x0*x2 - 0.99*x0 + 0.01*x1*x2 - 0.39*x1,0.909678842822925,1.7804317e-05,9
0,0.9087900860193547,0.010072956,0
-0.25*x0 + 0.38*x1,0.9069025409508082,0.008395649,3
1.24*x2,0.9040133027755007,0.009047173,1
-0.99*x0 - 0.39*x1 + 9.72*x2*sin(0.51*x0),0.9005998240207704,1.7637498e-05,10
-0.19*x0*(5.28 + 2.07*x1/x0) + 9.5*x2*sin(0.52*x0),0.8738527707918599,1.7621458e-05,13
4.01*x0*x2 - 0.99*x0 - 0.03*x1*x2 - 0.38*x1 + 1.08*x2*tanh(0.87*x0),0.8564665435887636,1.7587583e-05,15
