expr_str,reward,MSE,complexity
0.950000000000000,0.8764781203708711,0.019861206,0
-1.307*x*tanh(1.101*x - 0.97) + 1.678*x + 0.584,0.8621849598347487,0.003544707,9
2.347*tanh(1.039*x) - 0.594*tanh(2.013*x - 2.576) - 0.002,0.8580384735971849,0.0018897268,11
2.843*x/(0.96*x**2 + 1.162) + 0.684,0.8399044082702426,0.009727998,8
(1.078668*tanh(1.684*x) + 1.497984)*tanh(1.079*x) - 0.758*tanh(1.759*x - 2.063) - 0.077,0.8189177191892516,0.0015789048,16
0.133*x*(1.24*sin(2.577*x) + 0.58)*cosh(0.351*x) - 0.734*cos(2.562*sin(1.082*x) + 0.688) + 1.228,0.755668134882018,0.0015771389,24
