expr_str,reward,MSE,complexity
-0.22*x + 1.792*tanh(1.959*x) + 0.484,0.8497161096901308,0.009392289,7
-0.197*x + 1.413*tanh(3.452*x**2) + 0.804,0.845979405029335,0.006373453,9
(0.154508 + 0.719112/x)*tanh(2.623*x**2 - 0.842*x) + 1.273,0.8429457597366938,0.0026555997,12
(0.388*x - 0.066)/(-0.303*x + 1.157*cos(0.864*x - 3.258) + 1.431) + 0.948,0.8299134905285972,0.0021893797,14
0.324 + 0.803*exp(1.879*x)/(-2.49*x + 1.637*cosh(1.774*x) + 0.466),0.824092628189616,0.0019046958,15
2.272*x**2*exp(-1.399*x**2) + 1.056*tanh(1.232*x) + 0.675,0.8106477772212585,0.0015871478,17
1.83600000000000,0.8005804382844388,0.062047683,0
1.798 - 0.236*cos(2.571*x),0.7922318626459505,0.03549066,6
(2.05*x**2 + 0.413*x - 0.144)*exp(-1.344*x**2) + 0.924*tanh(1.01*x) + 0.814,0.7865930351093371,0.001584799,20
0.209*x + (1.571*x**2 + 1.134*x - 0.733)*exp(-1.27*x**2) - 1.236*tanh(0.409*x - 2.167) + 0.198,0.7632567660194988,0.0015819443,23
0.028*x + 1.747 + 0.005/x,0.761812147909233,0.061665893,5
1.011*x**2*(0.102*x + 2.277 + 0.289/x)/(0.099*x + exp(1.456*x**2) + 0.276) + 1.071*tanh(1.189*x) + 0.664,0.7406730744577418,0.0015723777,26
-1.232*x**2*(-0.181*x + 2.344 + 0.066/x)/(-0.3*x - exp(1.477*x**2) - 0.372) + 1.069*tanh(1.31*x) + 0.663,0.7259395253054297,0.001571714,28
