expr_str,reward,MSE,complexity
-0.22*x + 1.792*tanh(1.96*x) + 0.484,0.849716098523891,0.009392292,7
(0.505*x + 0.262)/(0.536*x - 1.199*tanh(2.114*x) + 1.114) + 0.499,0.8402701428416397,0.0030119063,12
(4.763898 - 3.586965*tanh(0.791*x))*tanh(0.794*x) + 0.444,0.8391233617397251,0.0060481895,10
(0.61*cosh(0.865*x) + 2.591)/(2.804*x - 2.68 + 2.309/x) + 0.687,0.8375403078159025,0.0022787133,13
-4.088*x/(1.424*x + 0.696) + 3.636*tanh(1.925*x) + 0.478,0.8348429106799214,0.0052509075,11
0.7 + (0.354*x**2 - 0.548*x + 1.562)/(1.416*x - 1.646 + 1.196/x),0.832954555254093,0.0018463384,14
(1.094 - 1.109*tanh(0.682*x))*(0.675*x - 0.646*cos(2.924*x) - 0.298) + 1.683,0.8269252902761566,0.0016054274,15
1.79900000000000,0.8040871251261638,0.059363533,0
(2.043*x - 1.787*cos(2.856*x)*tanh(1.205*x) - 1.004)*exp(-1.746*x) + 1.697,0.7946390714652082,0.00157433,19
-0.207*x**2 + 0.698726*x + 1.332418,0.7827070475535094,0.04114863,6
