expr_str,reward,MSE,complexity
1.80100000000000,0.8694973920718162,0.02252692,0
-0.22*x + 1.792*tanh(1.96*x) + 0.483,0.8497161134122113,0.0093922885,7
0.219*x - 1.367*x/(-1.76*x**2 + 1.983*x - 1.373) + 0.706,0.8495700391150299,0.0018777911,12
exp(0.678*tanh(1.711*x)) + 0.2*tanh(0.908*x) - 0.433,0.8438766801222312,0.0015895205,13
0.443*x*exp(-2.02*x**2 + 2.294*x) + 1.083*tanh(1.178*x) + 0.655,0.81886340193988,0.0015843905,16
-0.847*x/((-1.578*x**2 + 1.659*x - 1.292)*cosh(1.596*x**2 - 2.179*x + 1.153)) + 1.072*tanh(1.11*x) + 0.666,0.7557806981823588,0.0015648636,24
-0.023 + (1.32*x**2 + 1.413*sin(0.299*x*sin(1.469*x) + 1.715*x - 0.023) + 1.445)/(0.891*x**2 - 1.056*x + 2.048),0.7333470594558681,0.0015633159,27
