expr_str,reward,MSE,complexity
-0.22*x + 1.792*tanh(1.96*x) + 0.484,0.8497161171342921,0.009392288,7
(7.269255 - 6.301008*tanh(1.355*x))*tanh(1.059*x**2) + 0.741,0.8469057277897162,0.002173028,12
-1.175 + (2.450736*x + 1.099464)*tanh(1.473*x - 0.002)/x,0.8357591641853207,0.0067418017,10
0.0790000000000000,0.8259015254266824,0.04443584,0
(2.59415 - 0.141115*x)*tanh(0.902*x) + 0.561*tanh(1.876*cos(1.233*x)) + 0.071,0.8157482842278062,0.001916262,16
2.272*x**2*exp(-1.399*x**2) + 1.056*tanh(1.232*x) + 0.675,0.8106477772212585,0.0015871478,17
-0.079*x + 2.024 - 0.097/x,0.7878792216781008,0.04285942,5
