expr_str,reward,MSE,complexity
-0.22*x + 1.792*tanh(1.96*x) + 0.483,0.8497161208563729,0.009392287,7
(-241.754*x - 365.44)/(-434.135*x + 254.316 - 257.105/x) + 0.662,0.8377160310060381,0.004731364,11
(5.104*x + 0.462)/(4.923*x - 5.893*tanh(1.618*x) + 3.928) + 0.449,0.8376042837774378,0.003391691,12
-0.723*x + 0.449*cos(1.739*x) + 3.676*tanh(1.011*x) + 0.06,0.8312718324321835,0.0030954382,13
(0.307866*x - 0.179244*cos(1.964*x) - 0.79131)*cos(2.667*x) + 1.782,0.8285445333742476,0.0023542254,14
0.26 + exp(1.938*x)/(-3.706*x + exp(1.824*x) + 1.258),0.8243456950885982,0.001876833,15
-0.376000000000000,0.8018976721162108,0.061029702,0
-51.516*x**2/(46.25*x - exp(4.315*x) - 81.204) + 1.079*tanh(1.896*x) + 0.643,0.7927760117540218,0.0017741886,19
1.798 - 0.236*cos(2.572*x),0.7922318824196449,0.03549065,6
(0.322*x**2 + 1.857*x + 1.81)*exp(-0.459*x**4) + 2.888*tanh(0.271*x**4) - 1.151,0.7704990741581218,0.0016325116,22
