expr_str,reward,MSE,complexity
-0.22*x + 1.792*tanh(1.96*x) + 0.483,0.8497161171342921,0.009392288,7
0.729*x/(-0.629*x - 1.955*cos(0.82*x) + 2.476) + 0.68,0.8449106081882752,0.0024095494,12
-2.904*x*(1.237*x + 0.588)*(1.038*tanh(1.004*x) - 1.062) + 0.656,0.8416375157154414,0.0040710866,11
-0.533*x/(0.718*cos(0.716*x) - 0.875) + 0.422,0.8406808916862413,0.005741596,10
1.705 - 1.035*exp(-0.889*x)*cos(3.076*x*cos(0.377*x)),0.8089238613242374,0.0017686271,17
(0.891*x + 2.153*cos(0.886*x)**2 + 2.7)/(2.913*x - 3.251 + 3.411/x) + 0.676,0.8022241488631687,0.0016200716,18
1.81800000000000,0.7996507358833819,0.06277328,0
0.027*x + 1.751,0.7917777512524667,0.06267556,2
0.519*sin(0.977*x) + 1.412,0.7812904449642614,0.042038206,6
-0.111 + (0.401*x - 1.549*tanh(1.561*cos(0.719*x)) + 1.649)/(-0.15*x - 1.389*sin(1.306*cos(0.733*x)) + 1.64),0.7406180478488579,0.0015785097,26
