expr_str,reward,MSE,complexity
-1.306*x*tanh(1.102*x - 0.971) + 1.676*x + 0.584,0.8621851109918168,0.003544685,9
(2.27*x - 1.162)*exp(-1.073*x**2) + 1.713,0.8549660966092255,0.0022298011,11
(7.072*sin(1.154*x) - 16.822)/(-9.017*x + 12.639 - 10.732/x) + 0.673,0.8351805958553574,0.0016151696,14
2.248*x + 3.351*cos(0.804*x) - 2.573,0.8304027696857151,0.012365744,8
58.918*tanh(1.945*x + 2.251) - 57.06,0.808683704989689,0.026965937,6
1.81800000000000,0.7996507358833819,0.06277328,0
(0.757926*x + 0.718484*sin(1.06*x) + 0.934882)*tanh(1.693*x) - 1.085*tanh(1.605*x - 1.934) - 0.382,0.7947570645372491,0.0015621049,19
0.027*x + 1.751,0.7917777512524667,0.06267556,2
