expr_str,reward,MSE,complexity
(2.29*x - 1.173)*exp(-1.079*x**2) + 1.714,0.8552393060424894,0.0021983187,11
-0.22*x + 1.792*tanh(1.96*x) + 0.483,0.8497161171342921,0.009392288,7
-0.197*x + 1.413*tanh(3.452*x**2) + 0.805,0.845979393605142,0.0063734553,9
-0.282 + 1.703*cosh(2.081*x)/(-1.799*x + 1.06*cosh(2.013*x) + 0.653),0.8323070663500158,0.0019167245,14
1.663*x*exp(-1.177*x**2) + 1.074*tanh(1.473*x**2) + 0.65,0.8103376592554947,0.001619014,17
1.874 - 0.074/x,0.8013714125234955,0.044435848,3
1.82200000000000,0.8007039210451274,0.061951753,0
2.754 - 0.007/x**2,0.7938100429875863,0.039206803,5
1.798 - 0.236*cos(2.572*x),0.7922318824196449,0.03549065,6
(2.101*x**2 + 0.33*x - 0.084)*exp(-1.349*x**2) + 0.983*tanh(1.036*x) + 0.754,0.7866015931086754,0.0015838984,20
