expr_str,reward,MSE,complexity
2.345*tanh(1.04*x) - 0.593*tanh(2.014*x - 2.578),0.8843032185436934,0.001889721,8
1.662*x*exp(-1.176*x**2) + 1.073*tanh(1.473*x**2) + 0.65,0.8607060725701258,0.0016190116,11
-0.22*x + 1.792*tanh(1.96*x) + 0.483,0.8582990894180718,0.009392292,6
0.068 + (0.702*x**2 + 0.922*x + 0.959*cos(1.462*x) - 0.324)/(0.853*x**2 - 1.221*x + 1.049),0.8186495729095725,0.0016060856,16
1.7954967,0.7991966493247032,0.06312983,0
0.027*x + 1.751,0.7917777512524667,0.06267556,2
0.15*log(0.998*Abs(x)) + 1.750557008143251,0.7760547538399053,0.050812453,5
