expr_str,reward,MSE,complexity
2.345*tanh(1.04*x) - 0.593*tanh(2.014*x - 2.578),0.8843032185436934,0.001889721,8
1.662*x*exp(-1.176*x**2) + 1.074*tanh(1.473*x**2) + 0.65,0.8607060701762163,0.0016190119,11
-0.22*x + 1.792*tanh(1.96*x) + 0.484,0.8582991119761343,0.009392287,6
0.43 + (3.237*x + 0.642*sin(2.819*x) + 0.691)/(1.202*x - 1.859*sin(1.48*x) + 3.073),0.8355421937806705,0.0015791889,14
1.7954967,0.7991966493247032,0.06312983,0
0.027*x + 1.751,0.7917777512524667,0.06267556,2
0.111 + (1.616*x**3 + 3.043*x**2*cosh(0.992*x**2) - 0.062*x**2 + 1.811*x + 0.671)/((1.576*x**2 + 1.211)*cosh(1.002*x**2)),0.7556838725822959,0.0015754196,24
