expr_str,reward,MSE,complexity
2.345*tanh(1.04*x) - 0.593*tanh(2.015*x - 2.579),0.8667055655877297,0.001889723,10
(0.586*x + 0.147)*(-0.301*x - 1.187*tanh(1.699*x - 1.878) + 3.003) - 0.007,0.8498848832231053,0.001844443,12
-0.22*x + 1.792*tanh(1.96*x) + 0.483,0.8497161134122113,0.0093922885,7
-2.11*x + (1.888324*x + 1.757133)*tanh(2.42*x) + 0.518,0.8376678062261961,0.008199004,9
0.343*exp(1.8*tanh(1.962*x)) - 0.346*tanh(2.266*x - 2.906),0.8356054364121552,0.0015729407,14
1.79600000000000,0.7991966587947069,0.06312982,0
0.027*x + 1.751,0.7917777512524667,0.06267556,2
-0.207*x**2 + 0.699*x + 1.332,0.7827070595035611,0.04114862,6
0.651*tanh(1801.7*x) + 1.151,0.7706939706807835,0.054727882,5
