expr_str,reward,MSE,complexity
1.766*tanh(2.808*x**2) + 1.233,0.8772992283622647,0.0038969824,7
2.347*tanh(1.039*x) - 0.594*tanh(2.013*x - 2.576) - 0.001,0.8580385308518309,0.0018897208,11
0.693 + (0.801*x**2 - 1.333*x + 3.618)/(3.089*x - 3.595 + 2.674/x),0.8329771981875466,0.0018439027,14
2.271*x**2*exp(-1.399*x**2) + 1.056*tanh(1.233*x) + 0.675,0.8106477738041501,0.0015871482,17
1.79549670000000,0.7991966493247032,0.06312983,0
0.027*x + 1.751,0.7917777512524667,0.06267556,2
(1.98*x**2 + 0.519*x - 0.236)*exp(-1.34*x**2) + 0.832*tanh(0.982*x) + 0.906,0.7865794213831399,0.0015862322,20
0.519*sin(0.977*x) + 1.412,0.7812904449642614,0.042038206,6
1.78*x*exp(-1.115*x**2)*sin(1.243*x) + 1.734 - 1.34/(1.055*x*exp(1.964*x) + 0.412*x + 0.833*exp(0.412*x)*cos(1.44*x) + 0.428),0.6565455095401125,0.0015693525,38
