expr_str,reward,MSE,complexity
0.389*x*cosh(0.949*x - 2.985) + 0.503,0.8571633125350029,0.0076358975,7
1.793 - 1.161*exp(-1.21*x)*cos(2.709*x),0.8467120535977066,0.0021954048,12
3.632*tanh(1.878*x) - 2.41 + 3.584/(2.447*x + 1.211),0.8438077035103533,0.0051533645,10
(-0.142*x - 0.224)/(1.153*x*exp(-1.294*x) - 0.514) + 0.262,0.8323700648328327,0.0019098135,14
0.613 + (0.218981*x**2 - 0.064092*x + 1.548127)*tanh(1.381*x**2)/x,0.8243547549625132,0.0018758397,15
2.759*x**3*exp(-1.775*x**2) + 1.073*tanh(1.762*x) + 0.66,0.810388742902356,0.0016137414,17
1.79500000000000,0.7991966493247032,0.06312983,0
0.027*x + 1.751,0.7917777512524667,0.06267556,2
(1.975*x**2 - 0.055 - exp(-1.26*x))*exp(-1.413*x**2) + 1.725,0.7863433887575709,0.0016111915,20
