expr_str,reward,MSE,complexity
0.206*x + 0.6 + 1.503*tanh(1.323*x**2)/x,0.8575559220851884,0.0019411211,11
0.389*x*cosh(0.949*x - 2.985) + 0.503,0.857163327237428,0.007635894,7
1.58500000000000,0.8464405261165726,0.03291246,0
(8.626646 - 7.31276*tanh(0.797*x))*tanh(0.459*x) + 0.415,0.8405866041051584,0.0057598976,10
1.496*tanh(2.723*x) + 0.361,0.8255303776683409,0.023096288,5
2.27*x**2*exp(-1.399*x**2) + 1.056*tanh(1.234*x) + 0.675,0.810647779499331,0.0015871476,17
(2.037*x**2 + 0.43*x - 0.161)*exp(-1.344*x**2) + 0.907*tanh(1.008*x) + 0.831,0.7865906692889485,0.001585048,20
(2.191*x**2 + 0.746*tanh(0.248*x) + 0.041)*exp(-1.353*x**2) + 1.108*tanh(1.067*x) + 0.629,0.7632536400526649,0.0015822831,23
