expr_str,reward,MSE,complexity
-0.99*x0*x2 + 27.78*x0 - 1.01*x1 + 1,0.2124821073377695,11.468783,7
-0.98*x0*x2 + 27.19*x0 - x1 + 0.92 + (0.1998*x0*x2 + 5.0316*x0 - 17.1396)/x2,0.1964662953868551,11.40844,15
-0.97*x0*x2 + 26.56*x0 - x1 - 1.42 + (0.2184*x0*x2 + 12.3452*x0 + 1.6338*x2 + 2.0902)/x2,0.1934254871783775,11.275988,17
-1.03*x0*x2 + 29.01*x0 - 0.99*x1 - 2.25 + (1.62*x0*x2 - 49.75*x0 + 99.17)/(0.4*x0 - 0.7*x2 + 58.9),0.19095677339927145,11.065398,19
-1.06*x0*x2 + 30.16*x0 - 1.42*x1 + 0.24 - (-0.8*x0*x2 + 29.89*x0 - 4.94*x1 + 0.24)/(0.05*x0 - 0.21*x2 + 17.58),0.18739220676761276,11.029259,21
-1.06*x0*x2 + 27.51*x0 - 0.99,0.14112418733940393,32.932392,5
-0.340000000000000,0.020135513020177603,2368.136,0
