expr_str,reward,MSE,complexity
0.0100000000000000,0.9930328131607351,4.9225226e-05,0
-4.96*x0*x1 + 0.17*x2,0.956342285954038,1.97839e-05,4
-1.99*x0*x1*(0.16*x2 + 2.46) + 0.18*x2,0.9279834662301808,1.934819e-05,7
-4.9*x0*x1 + 0.03*x2*(-8.82*x0*x1 - 1.59*x2 + 0.48) + 0.18*x2,0.8825216723743461,1.9162117e-05,12
-1.41*x1*sin(0.47*x0)*cosh(0.04*x2 + 2.7) + 0.18*x2,0.8737006908379636,1.9119516e-05,13
-1.15*x1*cosh(0.04*x2 + 3.24)*tanh(0.34*x0) + 0.2*tanh(0.91*x2),0.856329422644906,1.8962133e-05,15
0.07*x2*(-4.78*x0*x1 - 0.73*x2 + 0.1) + (-4.9104*x0*x1 + 0.198*x2)*cos(0.7*x1),0.8392906016220246,1.8939894e-05,17
-1.31*x1*sin(0.49*x0)*cosh(0.04*x2 + 2.74) + 1.4*x2/(cosh(0.21*x1)*cosh(0.32*x2 + 2.61)),0.7901792029980607,1.8898298e-05,23
